Accession number,NorB,NosZ,norR,NarG,NarH,nirS,AMO,narJ,narl,nirC,nirB,NAP_E,NAP_D,NAP_A,NAP_B,nirK,qNOR,POD,num_contigs,assembly_level
GCA_040438975.1,4953445 - 4954929,4749243 - 4751159,1424166 - 1425686,3421872 - 3425627,3420313 - 3421875,3608409 - 3608792,6622829 - 6623863,3419651 - 3420298,3418950 - 3419633,5636286 - 5636690,5636690 - 5639242,2494725 - 2494883,2494384 - 2494701,2491905 - 2494400,2491412 - 2491888,2410699 - 2411781,2406485 - 2408770,2524132 - 2524917,1,chromosome
GCA_042235685.1,4833997 - 4835481,4683955 - 4685871,1393034 - 1394554,3329740 - 3333495,3328181 - 3329743,3514157 - 3514540,6391959 - 6392993,3327519 - 3328166,3326818 - 3327501,5403449 - 5403853,5403853 - 5406405,2426156 - 2426314,2425815 - 2426132,2423336 - 2425831,2422843 - 2423319,2334866 - 2335948,2330652 - 2332937,2454341 - 2455126,1,chromosome
GCA_900009115.1,4387283 - 4388767,4172628 - 4174544,5140089 - 5141609,2851396 - 2855151,2849837 - 2851399,3042007 - 3042390,26481 - 27515,2849175 - 2849822,2848474 - 2849157,976404 - 976808,973852 - 976404,1939715 - 1939873,1939374 - 1939715,1936895 - 1939390,1936402 - 1936878,1781814 - 1782896,1777600 - 1779885,1969109 - 1969894,1,chromosome
GCF_001541435.1,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,26453 - 27487,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,26,contig
GCF_002192695.1,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,400341 - 401411,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,132,contig
GCF_002192705.1,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,32475 - 33509,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,319,contig
GCF_003031105.1,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,88786 - 89820,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,29,contig
GCF_009363015.1,3809209 - 3810696,4002720 - 4004636,1391323 - 1392852,3266491 - 3270234,3264929 - 3266494,,5907726 - 5908748,3264266 - 3264913,3263564 - 3264247,3461878 - 3462228,3459317 - 3461878,2274352 - 2274510,2274011 - 2274352,2271532 - 2274027,2271039 - 2271515,2230890 - 2231972,2226701 - 2228986,4156524 - 4157306,2,contig
GCF_029837835.1,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,107,contig
,,,,,,,,,,,,,,,,,,,,
"Not in dnaA contig = Genes were detected in the genome, but their genomic localization could not be determined because the assembly is at the contig level, and the contig containing dnaA did not include the target proteins.",,,,,,,,,,,,,,,,,,,,
Empty cell= Gene absent in genome,,,,,,,,,,,,,,,,,,,,
