Family,Gene
GCA_027529815.1_CDS_1186,"['GCA_001957045.1_CDS_0540', 'GCA_027529815.1_CDS_1186']"
GCA_001957065.1_CDS_0302,['GCA_001957065.1_CDS_0302']
NJ7201_G1323_CDS_5150,['NJ7201_G1323_CDS_5150']
GCA_001038045.1_CDS_2159,"['GCA_001038045.1_CDS_2159', 'GCA_001815425.1_CDS_2480', 'GCA_001957055.1_CDS_2310', 'GCA_002083165.2_CDS_1300', 'GCA_003177325.1_CDS_4794']"
AC5204_G1324_CDS_5424,['AC5204_G1324_CDS_5424']
GCA_001299335.1_CDS_3145,"['GCA_001299035.1_CDS_0112', 'GCA_001299295.1_CDS_4962', 'GCA_001299335.1_CDS_3145']"
GCA_001641525.1_CDS_3133,"['GCA_001641525.1_CDS_3133', 'GCA_001957065.1_CDS_4210', 'GCA_033096405.1_CDS_5542', 'GCF_001641525.1_CDS_3207']"
GCA_001815885.1_CDS_3563,['GCA_001815885.1_CDS_3563']
GCF_009363015.1_CDS_4328,"['GCA_001566985.1_CDS_3511', 'GCA_001641525.1_CDS_0443', 'GCF_001641525.1_CDS_0449', 'GCF_009363015.1_CDS_4328']"
GCA_032703345.1_CDS_2467,['GCA_032703345.1_CDS_2467']
GCA_002083165.2_CDS_3750,['GCA_002083165.2_CDS_3750']
G1413_CDS_5656,['G1413_CDS_5656']
GCA_038024235.1_CDS_0095,"['GCA_022488515.1_CDS_3308', 'GCA_038024235.1_CDS_0095']"
JMCD_G1432_CDS_1118,['JMCD_G1432_CDS_1118']
GCF_001641525.1_CDS_3156,"['GCA_001641525.1_CDS_3083', 'GCF_001641525.1_CDS_3156']"
GCA_033096405.1_CDS_5374,"['GCA_032703345.1_CDS_3969', 'GCA_033096405.1_CDS_5374']"
PCF1_G1423_CDS_1682,['PCF1_G1423_CDS_1682']
GCA_016599195.1_CDS_5449,"['GCA_016599195.1_CDS_5449', 'GCA_027529805.1_CDS_5324', 'GCA_027529815.1_CDS_5080', 'GCA_028462445.1_CDS_3123', 'GCA_029837755.1_CDS_6072', 'GCF_029837835.1_CDS_5740']"
GCF_001641525.1_CDS_0865,"['GCA_001566985.1_CDS_3568', 'GCA_001641525.1_CDS_0839', 'GCF_001641525.1_CDS_0865', 'NJ7201_G1323_CDS_1860']"
GCA_027922385.1_CDS_4755,['GCA_027922385.1_CDS_4755']
GCA_022444285.1_CDS_2114,['GCA_022444285.1_CDS_2114']
AC5204_G1324_CDS_7568,['AC5204_G1324_CDS_7568']
GCA_900009125.1_CDS_2125,['GCA_900009125.1_CDS_2125']
GCA_017745625.1_CDS_4608,['GCA_017745625.1_CDS_4608']
GCA_013413495.1_CDS_5761,['GCA_013413495.1_CDS_5761']
GCA_001299335.1_CDS_6147,"['GCA_000165835.1_CDS_6475', 'GCA_001299335.1_CDS_6147', 'GCA_001807115.1_CDS_4104', 'GCA_023703405.1_CDS_3378', 'GCF_002192695.1_CDS_2462']"
GCF_009363015.1_CDS_5395,['GCF_009363015.1_CDS_5395']
GCA_032703345.1_CDS_5644,['GCA_032703345.1_CDS_5644']
GCA_000508285.1_CDS_3954,['GCA_000508285.1_CDS_3954']
GCA_001558755.2_CDS_0609,"['GCA_000165835.1_CDS_2557', 'GCA_001558755.2_CDS_0609', 'GCA_023703405.1_CDS_1076', 'GCF_002192705.1_CDS_2848']"
GCA_001558915.2_CDS_0133,['GCA_001558915.2_CDS_0133']
NJ7201_G1323_CDS_1443,"['GCA_000186185.1_CDS_3905', 'GCA_025818255.1_CDS_3130', 'NJ7201_G1323_CDS_1443']"
GCA_001566985.1_CDS_2992,['GCA_001566985.1_CDS_2992']
NJ7201_G1323_CDS_3707,['NJ7201_G1323_CDS_3707']
GCA_013343135.1_CDS_3189,"['GCA_013343135.1_CDS_3189', 'GCA_016027035.1_CDS_1505', 'GCA_022870085.1_CDS_5906', 'GCA_029837755.1_CDS_3194', 'GCF_029837835.1_CDS_4897']"
EHC_G1409_CDS_1304,"['EHB_G1408_CDS_1242', 'EHC_G1409_CDS_1304']"
GCF_001541435.1_CDS_5468,"['GCA_001541435.1_CDS_5349', 'GCF_001541435.1_CDS_5468']"
JMCD_G1432_CDS_0961,['JMCD_G1432_CDS_0961']
GCF_002192705.1_CDS_3511,"['GCF_002192695.1_CDS_4592', 'GCF_002192705.1_CDS_3511']"
GCF_003031105.1_CDS_3067,"['GCA_001957055.1_CDS_0080', 'GCF_003031105.1_CDS_3067']"
GCA_001299265.1_CDS_5881,['GCA_001299265.1_CDS_5881']
NJ7201_G1323_CDS_3454,['NJ7201_G1323_CDS_3454']
GCA_013343135.1_CDS_1239,"['GCA_013343135.1_CDS_1239', 'GCA_016027035.1_CDS_3464', 'GCA_022870085.1_CDS_1721']"
JMCD_G1434_CDS_6325,['JMCD_G1434_CDS_6325']
GCA_001641525.1_CDS_3546,"['GCA_001566985.1_CDS_1952', 'GCA_001641525.1_CDS_3546', 'GCA_017745625.1_CDS_1594', 'GCF_001641525.1_CDS_3629', 'GCF_009363015.1_CDS_0675']"
G1413_CDS_3819,['G1413_CDS_3819']
G1413_CDS_0164,['G1413_CDS_0164']
GCA_028462445.1_CDS_4753,['GCA_028462445.1_CDS_4753']
GCA_001559195.2_CDS_1370,"['GCA_001559195.2_CDS_1370', 'GCA_010815595.1_CDS_1770', 'JMCD_G1434_CDS_3385']"
GCA_001298795.1_CDS_0316,['GCA_001298795.1_CDS_0316']
JMCD_G1432_CDS_2141,['JMCD_G1432_CDS_2141']
AC5204_G1324_CDS_3987,['AC5204_G1324_CDS_3987']
GCA_900010105.1_CDS_5155,"['GCA_001299295.1_CDS_2439', 'GCA_900010105.1_CDS_5155']"
GCA_001298795.1_CDS_5751,"['GCA_001298795.1_CDS_5751', 'GCA_001299195.1_CDS_5020', 'GCA_033096405.1_CDS_1696']"
JMCD_G1432_CDS_6914,"['GCA_022488515.1_CDS_3869', 'JMCD_G1432_CDS_6914', 'JMCD_G1433_CDS_6400', 'JMCD_G1434_CDS_6607']"
GCA_016599195.1_CDS_5484,"['GCA_016599195.1_CDS_5484', 'GCA_027529805.1_CDS_5300', 'GCA_028462445.1_CDS_3099']"
GCA_003293615.1_CDS_5660,['GCA_003293615.1_CDS_5660']
GCA_001558915.2_CDS_1759,['GCA_001558915.2_CDS_1759']
PCF1_G1401_CDS_3353,['PCF1_G1401_CDS_3353']
NJ7201_G1323_CDS_2488,['NJ7201_G1323_CDS_2488']
GCA_001299055.1_CDS_4506,['GCA_001299055.1_CDS_4506']
GCA_001299155.1_CDS_4372,['GCA_001299155.1_CDS_4372']
GCA_001299195.1_CDS_0109,"['GCA_001298795.1_CDS_0702', 'GCA_001299195.1_CDS_0109']"
GCA_001298915.1_CDS_4572,['GCA_001298915.1_CDS_4572']
GCA_034078005.1_CDS_1377,['GCA_034078005.1_CDS_1377']
GCA_036527295.1_CDS_2944,"['G1413_CDS_3629', 'GCA_036527295.1_CDS_2944', 'HH1101_G1394_CDS_6087', 'JMCD_G1432_CDS_4831']"
GCA_900010105.1_CDS_5119,"['GCA_022488545.1_CDS_4083', 'GCA_900010105.1_CDS_5119']"
GCA_036527295.1_CDS_5747,['GCA_036527295.1_CDS_5747']
GCA_001299055.1_CDS_5945,['GCA_001299055.1_CDS_5945']
GCA_003503255.1_CDS_5815,"['GCA_003503255.1_CDS_5815', 'GCA_014353695.1_CDS_5553', 'GCA_014490035.1_CDS_4357', 'GCA_014529725.1_CDS_5613']"
GCA_001957065.1_CDS_2519,"['GCA_001299265.1_CDS_6229', 'GCA_001641525.1_CDS_2488', 'GCA_001810925.1_CDS_5239', 'GCA_001957065.1_CDS_2519', 'GCF_001641525.1_CDS_2552']"
GCA_000165835.1_CDS_4947,"['GCA_000165835.1_CDS_4947', 'GCA_027922385.1_CDS_3765']"
AC5204_G1324_CDS_6645,"['AC5204_G1324_CDS_6645', 'GCA_001299155.1_CDS_4668']"
GCA_013413495.1_CDS_5932,"['GCA_013413495.1_CDS_5932', 'GCA_016599195.1_CDS_3373']"
NJ7201_G1323_CDS_0512,['NJ7201_G1323_CDS_0512']
GCA_013413495.1_CDS_5799,['GCA_013413495.1_CDS_5799']
GCA_001558755.2_CDS_5992,"['GCA_001558755.2_CDS_5992', 'GCA_001654705.1_CDS_2476', 'GCF_001654705.1_CDS_2563']"
GCA_003503255.1_CDS_0126,"['AC5204_G1324_CDS_7585', 'GCA_000165835.1_CDS_0251', 'GCA_003503255.1_CDS_0126', 'GCA_014353695.1_CDS_0317', 'GCA_014490035.1_CDS_0242', 'GCA_014529725.1_CDS_1513']"
JMCD_G1433_CDS_3751,['JMCD_G1433_CDS_3751']
GCA_017745625.1_CDS_5135,['GCA_017745625.1_CDS_5135']
GCA_001957065.1_CDS_0299,['GCA_001957065.1_CDS_0299']
GCA_008631215.1_CDS_1529,['GCA_008631215.1_CDS_1529']
GCA_000967095.1_CDS_0350,"['DC32_G1318_CDS_4434', 'GCA_000967095.1_CDS_0350', 'GCA_001558755.2_CDS_2193']"
GCA_003293615.1_CDS_5779,"['GCA_000165835.1_CDS_6792', 'GCA_003293615.1_CDS_5779', 'GCF_009363015.1_CDS_5558']"
GCA_028745525.1_CDS_0324,['GCA_028745525.1_CDS_0324']
G1414_CDS_3254,['G1414_CDS_3254']
G1412_CDS_3046,['G1412_CDS_3046']
GCA_001299055.1_CDS_5964,['GCA_001299055.1_CDS_5964']
GCA_001299235.1_CDS_5943,['GCA_001299235.1_CDS_5943']
GCF_002192705.1_CDS_3045,"['GCA_000165835.1_CDS_4873', 'GCA_003503255.1_CDS_5432', 'GCA_003503255.1_CDS_5683', 'GCA_014353695.1_CDS_0734', 'GCA_014490035.1_CDS_1547', 'GCA_014529725.1_CDS_5503', 'GCA_014529725.1_CDS_5546', 'GCF_002192695.1_CDS_6496', 'GCF_002192705.1_CDS_3045', 'GCF_002192705.1_CDS_4705']"
G1414_CDS_2640,['G1414_CDS_2640']
GCA_900010105.1_CDS_5937,"['AC5204_G1324_CDS_3931', 'GCA_001566985.1_CDS_5027', 'GCA_040438975.1_CDS_4436', 'GCA_900010105.1_CDS_5937']"
JMCD_G1434_CDS_2937,['JMCD_G1434_CDS_2937']
GCA_036527295.1_CDS_5748,['GCA_036527295.1_CDS_5748']
GCA_001641525.1_CDS_3758,"['GCA_001566985.1_CDS_3799', 'GCA_001641525.1_CDS_3758', 'GCF_001641525.1_CDS_3851', 'GCF_009363015.1_CDS_0710', 'NJ7201_G1323_CDS_0549']"
GCA_017745625.1_CDS_3236,['GCA_017745625.1_CDS_3236']
GCF_002192705.1_CDS_1428,"['GCA_000165835.1_CDS_5427', 'GCF_002192695.1_CDS_0902', 'GCF_002192705.1_CDS_1428']"
GCA_025818255.1_CDS_3215,['GCA_025818255.1_CDS_3215']
GCA_001707475.1_CDS_5051,['GCA_001707475.1_CDS_5051']
AC5204_G1324_CDS_6535,['AC5204_G1324_CDS_6535']
GCA_017745625.1_CDS_3470,"['GCA_001299035.1_CDS_4666', 'GCA_001299265.1_CDS_4604', 'GCA_001558915.2_CDS_1807', 'GCA_017745625.1_CDS_3470', 'JMCD_G1432_CDS_6000', 'JMCD_G1433_CDS_7323', 'JMCD_G1434_CDS_7544']"
GCA_001641525.1_CDS_4986,"['GCA_001566985.1_CDS_1897', 'GCA_001641525.1_CDS_4986', 'GCF_001641525.1_CDS_5117', 'GCF_009363015.1_CDS_0328']"
GCA_001298795.1_CDS_0707,"['GCA_001298795.1_CDS_0707', 'GCA_001299035.1_CDS_5935', 'GCA_001299195.1_CDS_0114']"
GCF_002192705.1_CDS_4584,['GCF_002192705.1_CDS_4584']
JMCD_G1433_CDS_6874,['JMCD_G1433_CDS_6874']
GCA_017745625.1_CDS_3267,['GCA_017745625.1_CDS_3267']
GCA_017745625.1_CDS_4655,['GCA_017745625.1_CDS_4655']
GCA_044069285.1_CDS_0189,['GCA_044069285.1_CDS_0189']
GCA_028462445.1_CDS_3109,"['GCA_027529805.1_CDS_5310', 'GCA_028462445.1_CDS_3109']"
PCF1_G1387_CDS_4823,"['EHA_G1407_CDS_1171', 'EHB_G1408_CDS_1704', 'PCF1_G1387_CDS_4823']"
G1413_CDS_3667,['G1413_CDS_3667']
GCA_003293615.1_CDS_5675,"['GCA_001298895.1_CDS_5013', 'GCA_001299155.1_CDS_5515', 'GCA_003293615.1_CDS_5675', 'JMCD_G1432_CDS_7471', 'JMCD_G1433_CDS_7575', 'JMCD_G1434_CDS_7835']"
GCA_010815595.1_CDS_3694,"['GCA_001298935.1_CDS_0636', 'GCA_001299335.1_CDS_5720', 'GCA_002083165.2_CDS_4843', 'GCA_010815595.1_CDS_3694', 'GCA_022488515.1_CDS_5642']"
GCA_033096405.1_CDS_2516,['GCA_033096405.1_CDS_2516']
GCA_001457475.1_CDS_1088,"['GCA_001457475.1_CDS_1088', 'GCA_013343135.1_CDS_4721', 'GCA_016027035.1_CDS_6120', 'GCA_022870085.1_CDS_4377']"
GCA_036527295.1_CDS_2952,['GCA_036527295.1_CDS_2952']
GCA_001813885.1_CDS_3304,['GCA_001813885.1_CDS_3304']
G1412_CDS_3212,"['G1412_CDS_3212', 'G1413_CDS_3164', 'G1414_CDS_2401', 'PCF1_G1423_CDS_0564']"
AC5204_G1324_CDS_0849,"['AC5204_G1324_CDS_0849', 'JMCD_G1434_CDS_6082']"
NJ7201_G1323_CDS_3209,['NJ7201_G1323_CDS_3209']
GCA_001815885.1_CDS_0817,['GCA_001815885.1_CDS_0817']
GCA_000165835.1_CDS_6722,"['GCA_000165835.1_CDS_6722', 'GCA_003293615.1_CDS_5695', 'GCF_009363015.1_CDS_5612']"
GCA_001299415.1_CDS_1920,['GCA_001299415.1_CDS_1920']
NJ7201_G1323_CDS_4260,['NJ7201_G1323_CDS_4260']
GCA_017745625.1_CDS_3074,['GCA_017745625.1_CDS_3074']
GCA_027529805.1_CDS_5822,['GCA_027529805.1_CDS_5822']
JMCD_G1433_CDS_7587,['JMCD_G1433_CDS_7587']
GCF_002192705.1_CDS_4916,['GCF_002192705.1_CDS_4916']
GCF_009363015.1_CDS_5590,"['GCA_000165835.1_CDS_6745', 'GCA_003293615.1_CDS_5716', 'GCF_009363015.1_CDS_5590']"
GCA_003503255.1_CDS_2535,"['GCA_003503255.1_CDS_2535', 'GCA_014353695.1_CDS_4374', 'GCA_014490035.1_CDS_0693', 'GCA_014529725.1_CDS_5389', 'GCF_002192695.1_CDS_1134', 'GCF_002192705.1_CDS_2043']"
NJ7201_G1323_CDS_1691,"['GCA_001707485.1_CDS_3273', 'GCF_001707485.1_CDS_3374', 'NJ7201_G1323_CDS_1691']"
GCF_001641525.1_CDS_3782,"['GCA_001641525.1_CDS_3688', 'GCF_001641525.1_CDS_3782', 'GCF_009363015.1_CDS_0779']"
AC5204_G1324_CDS_2511,"['AC5204_G1324_CDS_2511', 'GCA_022488515.1_CDS_2853', 'JMCD_G1434_CDS_4389']"
GCA_000186185.1_CDS_1525,['GCA_000186185.1_CDS_1525']
GCA_036035015.1_CDS_0737,['GCA_036035015.1_CDS_0737']
GCA_027529805.1_CDS_5971,"['GCA_027529805.1_CDS_5971', 'GCA_028462445.1_CDS_5400', 'GCA_900009115.1_CDS_3452']"
GCA_017745625.1_CDS_5134,['GCA_017745625.1_CDS_5134']
GCA_001299055.1_CDS_5979,['GCA_001299055.1_CDS_5979']
AC5204_G1324_CDS_6963,"['AC5204_G1324_CDS_6963', 'JMCD_G1432_CDS_5946', 'JMCD_G1433_CDS_7381', 'JMCD_G1434_CDS_7596']"
GCA_013413495.1_CDS_5922,['GCA_013413495.1_CDS_5922']
AC5204_G1324_CDS_4164,"['AC5204_G1324_CDS_4164', 'GCA_001276035.1_CDS_4202', 'JMCD_G1432_CDS_3247', 'JMCD_G1433_CDS_2552', 'JMCD_G1434_CDS_2598', 'PCF1_G1423_CDS_2597']"
GCA_023703405.1_CDS_5074,"['GCA_001299175.1_CDS_1098', 'GCA_023703405.1_CDS_5074']"
GCF_002192695.1_CDS_3732,['GCF_002192695.1_CDS_3732']
GCA_001299095.1_CDS_4821,"['GCA_000165835.1_CDS_1998', 'GCA_001299095.1_CDS_4821', 'GCA_001299115.1_CDS_0211', 'GCA_001299415.1_CDS_5009', 'GCA_001558915.2_CDS_2780', 'GCA_001558915.2_CDS_5262', 'GCA_034078005.1_CDS_6331', 'GCA_036035015.1_CDS_5642']"
GCA_044069285.1_CDS_3330,['GCA_044069285.1_CDS_3330']
JMCD_G1434_CDS_1211,['JMCD_G1434_CDS_1211']
GCA_001957065.1_CDS_3316,['GCA_001957065.1_CDS_3316']
GCA_001299095.1_CDS_1187,"['GCA_001299095.1_CDS_1187', 'GCA_001299295.1_CDS_2460', 'GCA_016403305.1_CDS_6290', 'GCA_016728825.1_CDS_2952', 'GCA_023703405.1_CDS_1691', 'GCA_034078005.1_CDS_2585']"
GCA_022488515.1_CDS_4142,['GCA_022488515.1_CDS_4142']
GCA_001641525.1_CDS_3400,"['GCA_001566985.1_CDS_1534', 'GCA_001641525.1_CDS_3400', 'GCF_001641525.1_CDS_3480', 'GCF_009363015.1_CDS_4021']"
GCA_003503255.1_CDS_5043,"['GCA_003503255.1_CDS_5043', 'GCA_014353695.1_CDS_5964', 'GCA_014490035.1_CDS_1931', 'GCA_014529725.1_CDS_0488']"
GCA_001641525.1_CDS_1699,"['GCA_001566985.1_CDS_2191', 'GCA_001641525.1_CDS_1699', 'GCF_001641525.1_CDS_1735', 'GCF_009363015.1_CDS_1554']"
DC32_G1318_CDS_3959,"['DC32_G1318_CDS_3959', 'HH1101_G1394_CDS_0260', 'NJ810_G1325_CDS_3970']"
AC5204_G1324_CDS_4298,['AC5204_G1324_CDS_4298']
GCA_001558915.2_CDS_3854,['GCA_001558915.2_CDS_3854']
JMCD_G1432_CDS_5994,"['JMCD_G1432_CDS_5994', 'JMCD_G1433_CDS_7330', 'JMCD_G1434_CDS_7550']"
GCA_027922385.1_CDS_2695,"['GCA_017745625.1_CDS_0583', 'GCA_027922385.1_CDS_2695']"
GCA_001558915.2_CDS_0205,['GCA_001558915.2_CDS_0205']
GCA_900009125.1_CDS_2482,['GCA_900009125.1_CDS_2482']
GCA_032703345.1_CDS_5689,['GCA_032703345.1_CDS_5689']
GCA_001807115.1_CDS_1406,['GCA_001807115.1_CDS_1406']
GCA_022488545.1_CDS_1781,['GCA_022488545.1_CDS_1781']
GCA_016599195.1_CDS_5452,"['GCA_016599195.1_CDS_5452', 'GCA_027529805.1_CDS_5321', 'GCA_028462445.1_CDS_3120']"
GCA_001641525.1_CDS_1132,"['GCA_000165835.1_CDS_2591', 'GCA_001641525.1_CDS_1132', 'GCA_027922385.1_CDS_1841', 'GCF_001641525.1_CDS_1163']"
PCF1_G1423_CDS_0685,"['GCA_022488545.1_CDS_0259', 'GCA_025818255.1_CDS_1325', 'JMCD_G1433_CDS_0355', 'PCF1_G1423_CDS_0685']"
NJ7201_G1323_CDS_2378,['NJ7201_G1323_CDS_2378']
AC5204_G1324_CDS_2154,['AC5204_G1324_CDS_2154']
GCA_001299175.1_CDS_5713,['GCA_001299175.1_CDS_5713']
GCA_023703405.1_CDS_5062,"['GCA_001299175.1_CDS_1110', 'GCA_001566985.1_CDS_4767', 'GCA_023703405.1_CDS_5062', 'GCF_002192705.1_CDS_2816']"
GCF_009363015.1_CDS_5595,"['GCA_000165835.1_CDS_6739', 'GCA_003293615.1_CDS_5711', 'GCF_009363015.1_CDS_5595']"
GCA_025818255.1_CDS_3751,['GCA_025818255.1_CDS_3751']
GCF_001654705.1_CDS_1086,"['GCA_001558755.2_CDS_3850', 'GCA_001654705.1_CDS_1034', 'GCF_001654705.1_CDS_1086']"
GCA_003293615.1_CDS_5762,['GCA_003293615.1_CDS_5762']
GCA_003177325.1_CDS_2604,['GCA_003177325.1_CDS_2604']
GCA_003503255.1_CDS_2482,"['GCA_001299115.1_CDS_5144', 'GCA_003503255.1_CDS_2482', 'GCA_014353695.1_CDS_4320', 'GCA_014490035.1_CDS_0639', 'GCA_014529725.1_CDS_5443']"
EHA_G1407_CDS_5447,"['EHA_G1407_CDS_5447', 'EHB_G1408_CDS_5584', 'EHC_G1409_CDS_5572', 'EHD_G1410_CDS_5423']"
JMCD_G1433_CDS_6849,"['JMCD_G1432_CDS_6477', 'JMCD_G1433_CDS_6849']"
GCA_013282235.1_CDS_2715,"['GCA_001559195.2_CDS_2556', 'GCA_013282235.1_CDS_2715']"
GCA_001051055.1_CDS_1782,['GCA_001051055.1_CDS_1782']
GCF_009363015.1_CDS_5533,"['GCA_000165835.1_CDS_6804', 'GCA_003293615.1_CDS_5791', 'GCF_009363015.1_CDS_5533']"
GCA_032703345.1_CDS_5642,['GCA_032703345.1_CDS_5642']
GCA_017745625.1_CDS_3959,['GCA_017745625.1_CDS_3959']
GCA_001298915.1_CDS_2746,"['GCA_001298895.1_CDS_1402', 'GCA_001298915.1_CDS_2746']"
GCF_002192705.1_CDS_2402,"['GCA_000165835.1_CDS_4567', 'GCA_027922385.1_CDS_0222', 'GCF_002192695.1_CDS_6353', 'GCF_002192705.1_CDS_2402']"
JMCD_G1434_CDS_4754,"['JMCD_G1433_CDS_4634', 'JMCD_G1434_CDS_4754']"
GCA_001558755.2_CDS_1474,"['GCA_001558755.2_CDS_1474', 'NJ7201_G1323_CDS_3177']"
GCA_017745625.1_CDS_0259,['GCA_017745625.1_CDS_0259']
GCA_017745625.1_CDS_1966,['GCA_017745625.1_CDS_1966']
GCA_044069285.1_CDS_5811,['GCA_044069285.1_CDS_5811']
GCA_001299115.1_CDS_0446,"['GCA_001299115.1_CDS_0446', 'GCA_001299335.1_CDS_2062', 'GCA_001815425.1_CDS_4031', 'GCA_001957055.1_CDS_5156']"
JMCD_G1433_CDS_1345,['JMCD_G1433_CDS_1345']
GCA_000165835.1_CDS_6705,['GCA_000165835.1_CDS_6705']
GCA_000165835.1_CDS_6294,['GCA_000165835.1_CDS_6294']
PCF1_G1401_CDS_3949,['PCF1_G1401_CDS_3949']
GCA_027922385.1_CDS_0938,['GCA_027922385.1_CDS_0938']
GCF_001654705.1_CDS_2582,['GCF_001654705.1_CDS_2582']
GCA_001299195.1_CDS_2069,"['GCA_001298795.1_CDS_4506', 'GCA_001299195.1_CDS_2069']"
GCA_001559195.2_CDS_5229,['GCA_001559195.2_CDS_5229']
JMCD_G1434_CDS_3887,['JMCD_G1434_CDS_3887']
GCA_014353695.1_CDS_5313,"['GCA_014353695.1_CDS_5313', 'GCA_014490035.1_CDS_3227', 'GCA_014529725.1_CDS_0153']"
GCA_000967095.1_CDS_1425,"['GCA_000508285.1_CDS_0712', 'GCA_000967095.1_CDS_1425']"
G1413_CDS_2522,['G1413_CDS_2522']
JMCD_G1433_CDS_2921,"['JMCD_G1432_CDS_2884', 'JMCD_G1433_CDS_2921']"
GCA_016599195.1_CDS_5724,"['GCA_016599195.1_CDS_5724', 'GCA_027529585.1_CDS_1678', 'GCA_900009115.1_CDS_1954']"
